row_index,NCT,PubMed ID,Trial name,source_value,size_bucket,derived_expected_llm_response
1,NCT02685059,31095287,GeparNuevo,174.0,medium,"{""size_bucket"": ""medium""}"
2,NCT02125461,28885881,PACIFIC,713.0,large,"{""size_bucket"": ""large""}"
3,NCT02125461,30280658,PACIFIC,713.0,large,"{""size_bucket"": ""large""}"
4,NCT02454933,30763730,CAURAL,29.0,small,"{""size_bucket"": ""small""}"
5,NCT03043872,31590988,CASPIAN,805.0,large,"{""size_bucket"": ""large""}"
6,NCT02352948,32201234,ARCTIC,595.0,large,"{""size_bucket"": ""large""}"
7,NCT02453282,32271377,MYSTIC,1118.0,large,"{""size_bucket"": ""large""}"
8,NCT02369874,32294530,EAGLE,736.0,large,"{""size_bucket"": ""large""}"
9,NCT02516241,32971005,DANUBE,1032.0,large,"{""size_bucket"": ""large""}"
10,NCT03043872,33285097,CASPIAN,805.0,large,"{""size_bucket"": ""large""}"
11,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,199.0,medium,"{""size_bucket"": ""medium""}"
